,date_game,game_location,game_result,losses,opp_name,opp_pts,overtimes,pts,wins,school_name
0,"Fri, Nov 10, 2017",,W,0,Hillsdale,68,,86,1,Abilene Christian
1,"Mon, Nov 13, 2017",@,L,1,Arkansas State,83,,69,1,Abilene Christian
2,"Thu, Nov 16, 2017",,W,1,Howard Payne,62,,112,2,Abilene Christian
3,"Mon, Nov 20, 2017",,L,2,Lipscomb,75,,67,2,Abilene Christian
4,"Fri, Nov 24, 2017",@,W,2,Campbell,80,OT,85,3,Abilene Christian
5,"Sat, Nov 25, 2017",N,L,3,South Carolina Upstate,88,,78,3,Abilene Christian
6,"Sun, Nov 26, 2017",N,W,3,Bowling Green State,83,,88,4,Abilene Christian
7,"Sat, Dec 2, 2017",,W,3,Schreiner,43,,71,5,Abilene Christian
8,"Wed, Dec 6, 2017",@,W,3,Air Force,58,,62,6,Abilene Christian
9,"Sat, Dec 9, 2017",,W,3,Texas State,68,,72,7,Abilene Christian
10,"Sun, Dec 17, 2017",@,L,4,Lipscomb,67,,65,7,Abilene Christian
11,"Tue, Dec 19, 2017",,W,4,Arlington Baptist,60,,109,8,Abilene Christian
12,"Fri, Dec 22, 2017",@,L,5,Texas Tech,74,,47,8,Abilene Christian
13,"Thu, Dec 28, 2017",@,L,6,New Orleans,77,,74,8,Abilene Christian
14,"Sat, Dec 30, 2017",,W,6,Sam Houston State,72,,75,9,Abilene Christian
15,"Wed, Jan 3, 2018",,W,6,McNeese State,74,,79,10,Abilene Christian
16,"Sat, Jan 6, 2018",,L,7,Southeastern Louisiana,72,,70,10,Abilene Christian
17,"Wed, Jan 10, 2018",@,W,7,Houston Baptist,74,,82,11,Abilene Christian
18,"Sat, Jan 13, 2018",@,W,7,Northwestern State,58,,69,12,Abilene Christian
19,"Wed, Jan 17, 2018",,L,8,Stephen F. Austin,76,,66,12,Abilene Christian
20,"Sat, Jan 20, 2018",@,W,8,Central Arkansas,63,,80,13,Abilene Christian
21,"Wed, Jan 24, 2018",@,L,9,Texas A&M-Corpus Christi,80,,66,13,Abilene Christian
22,"Wed, Jan 31, 2018",,W,9,Lamar,69,,74,14,Abilene Christian
23,"Sat, Feb 3, 2018",@,L,10,Sam Houston State,84,,77,14,Abilene Christian
24,"Wed, Feb 7, 2018",,L,11,Nicholls State,69,,65,14,Abilene Christian
25,"Sat, Feb 10, 2018",,W,11,Incarnate Word,69,,80,15,Abilene Christian
26,"Sat, Feb 17, 2018",@,L,12,Southeastern Louisiana,68,,54,15,Abilene Christian
27,"Thu, Feb 22, 2018",,L,13,Texas A&M-Corpus Christi,76,,67,15,Abilene Christian
28,"Sat, Feb 24, 2018",,L,14,Central Arkansas,74,,72,15,Abilene Christian
29,"Wed, Feb 28, 2018",@,L,15,Stephen F. Austin,76,,56,15,Abilene Christian
30,"Sat, Mar 3, 2018",@,W,15,Incarnate Word,59,,69,16,Abilene Christian
31,"Mon, Mar 12, 2018",@,L,16,Drake,80,OT,73,16,Abilene Christian
0,"Sun, Nov 12, 2017",,W,0,Texas State,57,,65,1,Air Force
1,"Tue, Nov 14, 2017",,W,0,Canisius,79,,93,2,Air Force
2,"Mon, Nov 20, 2017",,W,0,Arkansas-Pine Bluff,47,,57,3,Air Force
3,"Tue, Nov 21, 2017",,L,1,Pacific,83,,71,3,Air Force
4,"Sun, Nov 26, 2017",@,L,2,Colorado,81,,69,3,Air Force
5,"Wed, Nov 29, 2017",@,L,3,Indiana State,74,,64,3,Air Force
6,"Sat, Dec 2, 2017",@,W,3,Denver,59,,61,4,Air Force
7,"Mon, Dec 4, 2017",,W,3,Western State,67,,79,5,Air Force
8,"Wed, Dec 6, 2017",,L,4,Abilene Christian,62,,58,5,Air Force
9,"Fri, Dec 8, 2017",@,L,5,UC-Riverside,67,,48,5,Air Force
10,"Sun, Dec 17, 2017",N,L,6,Army,79,,54,5,Air Force
11,"Fri, Dec 22, 2017",,W,6,Johnson & Wales,68,,111,6,Air Force
12,"Wed, Dec 27, 2017",@,L,7,New Mexico,87,,58,6,Air Force
13,"Sat, Dec 30, 2017",@,L,8,Fresno State,71,,59,6,Air Force
14,"Sat, Jan 6, 2018",,L,9,Nevada,86,,75,6,Air Force
15,"Wed, Jan 10, 2018",,L,10,Nevada-Las Vegas,81,,76,6,Air Force
16,"Sat, Jan 13, 2018",@,W,10,San Jose State,71,,78,7,Air Force
17,"Wed, Jan 17, 2018",@,W,10,Colorado State,71,,76,8,Air Force
18,"Wed, Jan 24, 2018",@,L,11,Utah State,71,,49,8,Air Force
19,"Sat, Jan 27, 2018",,L,12,Boise State,70,,64,8,Air Force
20,"Sat, Feb 3, 2018",@,L,13,San Diego State,81,,50,8,Air Force
21,"Tue, Feb 6, 2018",,W,13,Colorado State,73,,78,9,Air Force
22,"Sat, Feb 10, 2018",,W,13,New Mexico,92,,100,10,Air Force
23,"Wed, Feb 14, 2018",@,L,14,Nevada-Las Vegas,81,,73,10,Air Force
24,"Sat, Feb 17, 2018",@,L,15,Boise State,76,,52,10,Air Force
25,"Wed, Feb 21, 2018",,L,16,San Diego State,67,,56,10,Air Force
26,"Sat, Feb 24, 2018",,W,16,Utah State,65,,75,11,Air Force
27,"Mon, Feb 26, 2018",,L,17,Fresno State,54,,48,11,Air Force
28,"Wed, Feb 28, 2018",@,L,18,Wyoming,66,,54,11,Air Force
29,"Sat, Mar 3, 2018",,W,18,San Jose State,61,,83,12,Air Force
30,"Wed, Mar 7, 2018",N,L,19,Nevada-Las Vegas,97,OT,90,12,Air Force
0,"Sat, Nov 11, 2017",,W,0,Cleveland State,57,,67,1,Akron
1,"Sat, Nov 18, 2017",,W,0,Tennessee-Martin,59,,76,2,Akron
2,"Sat, Nov 25, 2017",@,L,1,Dayton,73,,60,2,Akron
3,"Tue, Nov 28, 2017",,W,1,Chattanooga,70,,75,3,Akron
4,"Sat, Dec 2, 2017",@,L,2,Marshall,86,,64,3,Akron
5,"Wed, Dec 6, 2017",,W,2,Fort Wayne,79,,83,4,Akron
6,"Sat, Dec 9, 2017",,W,2,Appalachian State,89,,94,5,Akron
7,"Sat, Dec 16, 2017",,W,2,Mississippi Valley State,63,,81,6,Akron
8,"Fri, Dec 22, 2017",N,L,3,Southern California,84,,53,6,Akron
9,"Sat, Dec 23, 2017",N,L,4,Princeton,64,,62,6,Akron
10,"Mon, Dec 25, 2017",N,L,5,Davidson,91,,78,6,Akron
11,"Fri, Dec 29, 2017",,W,5,Concord,49,,86,7,Akron
12,"Tue, Jan 2, 2018",@,L,6,Western Michigan,87,,75,7,Akron
13,"Fri, Jan 5, 2018",@,L,7,Toledo,67,,65,7,Akron
14,"Tue, Jan 9, 2018",,L,8,Buffalo,87,,65,7,Akron
15,"Sat, Jan 13, 2018",,W,8,Bowling Green State,78,,80,8,Akron
16,"Tue, Jan 16, 2018",@,L,9,Eastern Michigan,63,,49,8,Akron
17,"Sat, Jan 20, 2018",,W,9,Northern Illinois,67,,82,9,Akron
18,"Tue, Jan 23, 2018",,W,9,Ohio,68,,71,10,Akron
19,"Sat, Jan 27, 2018",@,L,10,Ball State,111,2OT,106,10,Akron
20,"Tue, Jan 30, 2018",@,L,11,Miami,79,,64,10,Akron
21,"Sat, Feb 3, 2018",,L,12,Toledo,77,,56,10,Akron
22,"Tue, Feb 6, 2018",@,L,13,Ohio,99,,75,10,Akron
23,"Sat, Feb 10, 2018",,W,13,Central Michigan,63,,69,11,Akron
24,"Tue, Feb 13, 2018",,L,14,Ball State,90,,77,11,Akron
25,"Sat, Feb 17, 2018",@,L,15,Kent State,78,,68,11,Akron
26,"Tue, Feb 20, 2018",@,W,15,Bowling Green State,79,,81,12,Akron
27,"Sat, Feb 24, 2018",,L,16,Miami,64,OT,62,12,Akron
28,"Tue, Feb 27, 2018",@,L,17,Buffalo,80,,68,12,Akron
29,"Fri, Mar 2, 2018",,W,17,Kent State,65,,67,13,Akron
30,"Mon, Mar 5, 2018",@,W,17,Western Michigan,78,,79,14,Akron
31,"Thu, Mar 8, 2018",N,L,18,Eastern Michigan,67,,58,14,Akron
0,"Sat, Nov 11, 2017",@,L,1,Ohio,61,,53,0,Alabama A&M
1,"Mon, Nov 13, 2017",@,L,2,Samford,87,,68,0,Alabama A&M
2,"Fri, Nov 17, 2017",@,L,3,Alabama,104,,67,0,Alabama A&M
3,"Tue, Nov 21, 2017",@,L,4,Minnesota,100,,57,0,Alabama A&M
4,"Fri, Nov 24, 2017",@,L,5,Niagara,96,,74,0,Alabama A&M
5,"Sat, Nov 25, 2017",N,L,6,Western Carolina,82,,72,0,Alabama A&M
6,"Wed, Nov 29, 2017",,L,7,Georgia State,63,,53,0,Alabama A&M
7,"Sat, Dec 2, 2017",@,L,8,Austin Peay,67,,47,0,Alabama A&M
8,"Mon, Dec 11, 2017",@,L,9,DePaul,83,,59,0,Alabama A&M
9,"Wed, Dec 13, 2017",,L,10,Southern Mississippi,69,,54,0,Alabama A&M
10,"Sat, Dec 16, 2017",@,L,11,Alabama-Birmingham,90,,58,0,Alabama A&M
11,"Thu, Dec 21, 2017",@,L,12,Michigan,97,,47,0,Alabama A&M
12,"Sat, Dec 23, 2017",@,L,13,Georgetown,89,,49,0,Alabama A&M
13,"Mon, Jan 1, 2018",@,W,13,Grambling,64,,71,1,Alabama A&M
14,"Wed, Jan 3, 2018",@,L,14,Jackson State,59,,56,1,Alabama A&M
15,"Sat, Jan 6, 2018",,L,15,Arkansas-Pine Bluff,69,,62,1,Alabama A&M
16,"Mon, Jan 8, 2018",,W,15,Mississippi Valley State,55,,65,2,Alabama A&M
17,"Sat, Jan 13, 2018",@,L,16,Alabama State,70,,67,2,Alabama A&M
18,"Sat, Jan 20, 2018",@,L,17,Alcorn State,68,,52,2,Alabama A&M
19,"Mon, Jan 22, 2018",@,L,18,Southern,62,,61,2,Alabama A&M
20,"Sat, Jan 27, 2018",,L,19,Texas Southern,58,,56,2,Alabama A&M
21,"Mon, Jan 29, 2018",,L,20,Prairie View,88,,67,2,Alabama A&M
22,"Sat, Feb 3, 2018",@,L,21,Arkansas-Pine Bluff,80,,62,2,Alabama A&M
23,"Mon, Feb 5, 2018",@,L,22,Mississippi Valley State,77,,67,2,Alabama A&M
24,"Sat, Feb 10, 2018",,L,23,Alabama State,69,,50,2,Alabama A&M
25,"Sat, Feb 17, 2018",,L,24,Alcorn State,80,,60,2,Alabama A&M
26,"Mon, Feb 19, 2018",,L,25,Southern,60,,50,2,Alabama A&M
27,"Sat, Feb 24, 2018",@,L,26,Texas Southern,106,,71,2,Alabama A&M
28,"Mon, Feb 26, 2018",@,L,27,Prairie View,71,,58,2,Alabama A&M
29,"Thu, Mar 1, 2018",,L,28,Grambling,84,OT,74,2,Alabama A&M
30,"Sat, Mar 3, 2018",,W,28,Jackson State,59,,66,3,Alabama A&M
0,"Fri, Nov 10, 2017",,W,0,Jacksonville,67,,96,1,Alabama-Birmingham
1,"Mon, Nov 13, 2017",,W,0,Chattanooga,47,,89,2,Alabama-Birmingham
2,"Thu, Nov 16, 2017",,W,0,LeMoyne-Owen,57,,81,3,Alabama-Birmingham
3,"Mon, Nov 20, 2017",N,L,1,Richmond,63,,50,3,Alabama-Birmingham
4,"Tue, Nov 21, 2017",N,L,2,Buffalo,96,OT,91,3,Alabama-Birmingham
5,"Wed, Nov 22, 2017",N,L,3,Iowa,95,,85,3,Alabama-Birmingham
6,"Sun, Nov 26, 2017",,W,3,Mississippi College,53,,90,4,Alabama-Birmingham
7,"Thu, Nov 30, 2017",,W,3,Memphis,56,,71,5,Alabama-Birmingham
8,"Tue, Dec 5, 2017",@,W,3,Troy,78,,90,6,Alabama-Birmingham
9,"Sat, Dec 9, 2017",@,L,4,Auburn,85,,80,6,Alabama-Birmingham
10,"Sat, Dec 16, 2017",,W,4,Alabama A&M,58,,90,7,Alabama-Birmingham
11,"Wed, Dec 20, 2017",,W,4,New Orleans,67,,74,8,Alabama-Birmingham
12,"Sat, Dec 23, 2017",,W,4,Mississippi Valley State,57,,74,9,Alabama-Birmingham
13,"Sat, Dec 30, 2017",,L,5,Middle Tennessee,63,,60,9,Alabama-Birmingham
14,"Thu, Jan 4, 2018",@,W,5,Florida Atlantic,44,,75,10,Alabama-Birmingham
15,"Sat, Jan 6, 2018",@,W,5,Florida International,64,,75,11,Alabama-Birmingham
16,"Thu, Jan 11, 2018",,W,5,Southern Mississippi,75,,86,12,Alabama-Birmingham
17,"Sat, Jan 13, 2018",,W,5,Louisiana Tech,62,,74,13,Alabama-Birmingham
18,"Thu, Jan 18, 2018",@,L,6,Western Kentucky,77,,69,13,Alabama-Birmingham
19,"Sat, Jan 20, 2018",@,L,7,Marshall,86,OT,78,13,Alabama-Birmingham
20,"Thu, Jan 25, 2018",,W,7,Texas-El Paso,78,,85,14,Alabama-Birmingham
21,"Sat, Jan 27, 2018",,L,8,Texas-San Antonio,82,,70,14,Alabama-Birmingham
22,"Thu, Feb 1, 2018",@,W,8,Charlotte,64,,76,15,Alabama-Birmingham
23,"Sat, Feb 3, 2018",@,L,9,Old Dominion,65,,60,15,Alabama-Birmingham
24,"Thu, Feb 8, 2018",,L,10,North Texas,67,,60,15,Alabama-Birmingham
25,"Sat, Feb 10, 2018",,W,10,Rice,56,,61,16,Alabama-Birmingham
26,"Thu, Feb 15, 2018",@,L,11,Louisiana Tech,73,,60,16,Alabama-Birmingham
27,"Sat, Feb 17, 2018",@,W,11,Southern Mississippi,69,,87,17,Alabama-Birmingham
28,"Sat, Feb 24, 2018",@,L,12,Middle Tennessee,79,,54,17,Alabama-Birmingham
29,"Thu, Mar 1, 2018",,W,12,Marshall,77,,91,18,Alabama-Birmingham
30,"Sat, Mar 3, 2018",,W,12,Western Kentucky,73,,101,19,Alabama-Birmingham
31,"Wed, Mar 7, 2018",N,W,12,Florida Atlantic,72,,83,20,Alabama-Birmingham
32,"Thu, Mar 8, 2018",N,L,13,Western Kentucky,98,,70,20,Alabama-Birmingham
0,"Fri, Nov 10, 2017",@,L,1,Mississippi State,96,,68,0,Alabama State
1,"Sun, Nov 12, 2017",@,L,2,Iowa,92,,58,0,Alabama State
2,"Tue, Nov 14, 2017",@,L,3,South Dakota State,94,,63,0,Alabama State
3,"Fri, Nov 17, 2017",@,L,4,Oregon,114,,56,0,Alabama State
4,"Mon, Nov 20, 2017",@,L,5,Chattanooga,67,,50,0,Alabama State
5,"Tue, Nov 21, 2017",N,L,6,Savannah State,101,,97,0,Alabama State
6,"Mon, Nov 27, 2017",@,L,7,Cincinnati,83,,51,0,Alabama State
7,"Thu, Nov 30, 2017",@,L,8,Jacksonville State,77,,69,0,Alabama State
8,"Tue, Dec 12, 2017",,L,9,Tennessee State,64,,45,0,Alabama State
9,"Sat, Dec 16, 2017",,L,10,Winthrop,88,,80,0,Alabama State
10,"Thu, Dec 21, 2017",,L,11,Louisiana Tech,74,,62,0,Alabama State
11,"Fri, Dec 22, 2017",N,L,12,Liberty,87,,70,0,Alabama State
12,"Mon, Jan 1, 2018",@,L,13,Jackson State,82,,73,0,Alabama State
13,"Wed, Jan 3, 2018",@,W,13,Grambling,66,,74,1,Alabama State
14,"Sat, Jan 6, 2018",,W,13,Mississippi Valley State,46,,63,2,Alabama State
15,"Mon, Jan 8, 2018",,L,14,Arkansas-Pine Bluff,94,,68,2,Alabama State
16,"Sat, Jan 13, 2018",,W,14,Alabama A&M,67,,70,3,Alabama State
17,"Sat, Jan 20, 2018",@,L,15,Southern,63,,61,3,Alabama State
18,"Mon, Jan 22, 2018",@,L,16,Alcorn State,81,,64,3,Alabama State
19,"Sat, Jan 27, 2018",,L,17,Prairie View,86,,80,3,Alabama State
20,"Mon, Jan 29, 2018",,L,18,Texas Southern,97,,82,3,Alabama State
21,"Sat, Feb 3, 2018",@,W,18,Mississippi Valley State,85,OT,89,4,Alabama State
22,"Mon, Feb 5, 2018",@,W,18,Arkansas-Pine Bluff,59,,65,5,Alabama State
23,"Sat, Feb 10, 2018",@,W,18,Alabama A&M,50,,69,6,Alabama State
24,"Sat, Feb 17, 2018",,L,19,Southern,71,,67,6,Alabama State
25,"Mon, Feb 19, 2018",,W,19,Alcorn State,62,,82,7,Alabama State
26,"Sat, Feb 24, 2018",@,L,20,Prairie View,80,,74,7,Alabama State
27,"Mon, Feb 26, 2018",@,L,21,Texas Southern,95,,77,7,Alabama State
28,"Thu, Mar 1, 2018",,W,21,Jackson State,60,,62,8,Alabama State
29,"Sat, Mar 3, 2018",,L,22,Grambling,66,,64,8,Alabama State
30,"Tue, Mar 6, 2018",@,L,23,Texas Southern,90,,76,8,Alabama State
0,"Fri, Nov 10, 2017",N,W,0,Memphis,70,,82,1,Alabama NCAA
1,"Tue, Nov 14, 2017",,W,0,Lipscomb,64,,86,2,Alabama NCAA
2,"Fri, Nov 17, 2017",,W,0,Alabama A&M,67,,104,3,Alabama NCAA
3,"Tue, Nov 21, 2017",,W,0,Texas-Arlington,76,,77,4,Alabama NCAA
4,"Fri, Nov 24, 2017",N,W,0,Brigham Young,59,,71,5,Alabama NCAA
5,"Sat, Nov 25, 2017",N,L,1,Minnesota,89,,84,5,Alabama NCAA
6,"Wed, Nov 29, 2017",,W,1,Louisiana Tech,74,,77,6,Alabama NCAA
7,"Sun, Dec 3, 2017",,L,2,Central Florida,65,,62,6,Alabama NCAA
8,"Wed, Dec 6, 2017",,W,2,Rhode Island,64,,68,7,Alabama NCAA
9,"Sat, Dec 9, 2017",@,L,3,Arizona,88,,82,7,Alabama NCAA
10,"Tue, Dec 19, 2017",N,W,3,Mercer,79,,80,8,Alabama NCAA
11,"Fri, Dec 22, 2017",N,L,4,Texas,66,,50,8,Alabama NCAA
12,"Sat, Dec 30, 2017",,W,4,Texas A&M,57,,79,9,Alabama NCAA
13,"Tue, Jan 2, 2018",@,L,5,Vanderbilt,76,,75,9,Alabama NCAA
14,"Sat, Jan 6, 2018",@,L,6,Georgia,65,,46,9,Alabama NCAA
15,"Tue, Jan 9, 2018",,W,6,South Carolina,62,,76,10,Alabama NCAA
16,"Sat, Jan 13, 2018",@,W,6,Louisiana State,66,,74,11,Alabama NCAA
17,"Wed, Jan 17, 2018",,W,6,Auburn,71,,76,12,Alabama NCAA
18,"Sat, Jan 20, 2018",,W,6,Mississippi State,62,,68,13,Alabama NCAA
19,"Tue, Jan 23, 2018",@,L,7,Mississippi,78,,66,13,Alabama NCAA
20,"Sat, Jan 27, 2018",,W,7,Oklahoma,73,,80,14,Alabama NCAA
21,"Wed, Jan 31, 2018",,L,8,Missouri,69,,60,14,Alabama NCAA
22,"Sat, Feb 3, 2018",@,W,8,Florida,50,,68,15,Alabama NCAA
23,"Tue, Feb 6, 2018",@,L,9,Mississippi State,67,,63,15,Alabama NCAA
24,"Sat, Feb 10, 2018",,W,9,Tennessee,50,,78,16,Alabama NCAA
25,"Tue, Feb 13, 2018",,W,9,Louisiana State,65,,80,17,Alabama NCAA
26,"Sat, Feb 17, 2018",@,L,10,Kentucky,81,,71,17,Alabama NCAA
27,"Wed, Feb 21, 2018",@,L,11,Auburn,90,,71,17,Alabama NCAA
28,"Sat, Feb 24, 2018",,L,12,Arkansas,76,,73,17,Alabama NCAA
29,"Tue, Feb 27, 2018",,L,13,Florida,73,,52,17,Alabama NCAA
30,"Sat, Mar 3, 2018",@,L,14,Texas A&M,68,,66,17,Alabama NCAA
31,"Thu, Mar 8, 2018",N,W,14,Texas A&M,70,,71,18,Alabama NCAA
32,"Fri, Mar 9, 2018",N,W,14,Auburn,63,,81,19,Alabama NCAA
33,"Sat, Mar 10, 2018",N,L,15,Kentucky,86,,63,19,Alabama NCAA
34,"Thu, Mar 15, 2018",N,W,15,Virginia Tech,83,,86,20,Alabama NCAA
35,"Sat, Mar 17, 2018",N,L,16,Villanova,81,,58,20,Alabama NCAA
0,"Fri, Nov 10, 2017",,W,0,Iona,67,,69,1,Albany (NY)
1,"Mon, Nov 13, 2017",@,W,0,Boston University,74,,88,2,Albany (NY)
2,"Fri, Nov 17, 2017",,W,0,Yale,72,,80,3,Albany (NY)
3,"Mon, Nov 20, 2017",,W,0,SUNY-Oneonta,77,,102,4,Albany (NY)
4,"Wed, Nov 22, 2017",@,W,0,Dartmouth,73,,91,5,Albany (NY)
5,"Sat, Nov 25, 2017",@,W,0,Holy Cross,62,,78,6,Albany (NY)
6,"Mon, Nov 27, 2017",@,L,1,Monmouth,81,,73,6,Albany (NY)
7,"Wed, Nov 29, 2017",,W,1,Colgate,69,,75,7,Albany (NY)
8,"Sat, Dec 2, 2017",,W,1,Columbia,82,,86,8,Albany (NY)
9,"Wed, Dec 6, 2017",,W,1,Bryant,68,,84,9,Albany (NY)
10,"Sat, Dec 9, 2017",@,W,1,Siena,69,,74,10,Albany (NY)
11,"Tue, Dec 12, 2017",@,L,2,Memphis,67,,58,10,Albany (NY)
12,"Sat, Dec 16, 2017",,W,2,Canisius,65,,68,11,Albany (NY)
13,"Wed, Dec 20, 2017",@,L,3,Louisville,70,,68,11,Albany (NY)
14,"Thu, Dec 28, 2017",,W,3,Kent State,68,,78,12,Albany (NY)
15,"Wed, Jan 3, 2018",,L,4,Hartford,72,,64,12,Albany (NY)
16,"Sat, Jan 6, 2018",@,L,5,New Hampshire,64,,61,12,Albany (NY)
17,"Wed, Jan 10, 2018",,W,5,Stony Brook,65,,78,13,Albany (NY)
18,"Sat, Jan 13, 2018",@,W,5,Maine,66,,84,14,Albany (NY)
19,"Mon, Jan 15, 2018",@,L,6,Binghamton,79,,66,14,Albany (NY)
20,"Thu, Jan 18, 2018",,W,6,Massachusetts-Lowell,62,,70,15,Albany (NY)
21,"Sun, Jan 21, 2018",,W,6,Maryland-Baltimore County,39,,83,16,Albany (NY)
22,"Wed, Jan 24, 2018",@,L,7,Vermont,61,,50,16,Albany (NY)
23,"Sat, Jan 27, 2018",@,W,7,Stony Brook,50,,57,17,Albany (NY)
24,"Sat, Feb 3, 2018",,W,7,New Hampshire,74,,83,18,Albany (NY)
25,"Thu, Feb 8, 2018",,L,8,Vermont,72,,67,18,Albany (NY)
26,"Sun, Feb 11, 2018",@,W,8,Hartford,63,,69,19,Albany (NY)
27,"Thu, Feb 15, 2018",@,W,8,Massachusetts-Lowell,81,,91,20,Albany (NY)
28,"Sun, Feb 18, 2018",@,L,9,Maryland-Baltimore County,68,,60,20,Albany (NY)
29,"Sat, Feb 24, 2018",,W,9,Maine,79,,89,21,Albany (NY)
30,"Tue, Feb 27, 2018",,W,9,Binghamton,54,,71,22,Albany (NY)
31,"Sat, Mar 3, 2018",,L,10,Stony Brook,69,,60,22,Albany (NY)
0,"Fri, Nov 10, 2017",@,L,1,Louisiana State,99,,59,0,Alcorn State
1,"Sun, Nov 12, 2017",@,L,2,Creighton,109,,72,0,Alcorn State
2,"Mon, Nov 13, 2017",@,L,3,Northern Iowa,73,,45,0,Alcorn State
3,"Fri, Nov 17, 2017",@,L,4,Baylor,78,,61,0,Alcorn State
4,"Sun, Nov 19, 2017",@,L,5,Central Arkansas,102,,76,0,Alcorn State
5,"Wed, Nov 22, 2017",,L,6,Yale,87,,73,0,Alcorn State
6,"Sat, Nov 25, 2017",,W,6,Concordia,56,,103,1,Alcorn State
7,"Wed, Nov 29, 2017",@,L,7,Tulane,81,,65,1,Alcorn State
8,"Fri, Dec 1, 2017",,W,7,Rust,50,,89,2,Alcorn State
9,"Sun, Dec 10, 2017",@,L,8,Iowa State,78,,58,2,Alcorn State
10,"Tue, Dec 12, 2017",,W,8,Fisk,69,,77,3,Alcorn State
11,"Mon, Dec 18, 2017",,W,8,Blue Mountain College,56,,83,4,Alcorn State
12,"Fri, Dec 22, 2017",@,L,9,Vanderbilt,92,,51,4,Alcorn State
13,"Mon, Jan 1, 2018",@,L,10,Prairie View,76,,64,4,Alcorn State
14,"Wed, Jan 3, 2018",@,L,11,Texas Southern,85,,70,4,Alcorn State
15,"Sat, Jan 6, 2018",,L,12,Jackson State,60,,55,4,Alcorn State
16,"Mon, Jan 8, 2018",,L,13,Grambling,72,,61,4,Alcorn State
17,"Sat, Jan 13, 2018",@,W,13,Mississippi Valley State,63,,77,5,Alcorn State
18,"Mon, Jan 15, 2018",@,L,14,Arkansas-Pine Bluff,71,,59,5,Alcorn State
19,"Sat, Jan 20, 2018",,W,14,Alabama A&M,52,,68,6,Alcorn State
20,"Mon, Jan 22, 2018",,W,14,Alabama State,64,,81,7,Alcorn State
21,"Sat, Jan 27, 2018",@,L,15,Southern,61,,48,7,Alcorn State
22,"Sat, Feb 3, 2018",@,L,16,Jackson State,60,,57,7,Alcorn State
23,"Mon, Feb 5, 2018",@,L,17,Grambling,81,,72,7,Alcorn State
24,"Sat, Feb 10, 2018",,W,17,Mississippi Valley State,90,OT,94,8,Alcorn State
25,"Mon, Feb 12, 2018",,W,17,Arkansas-Pine Bluff,52,,84,9,Alcorn State
26,"Sat, Feb 17, 2018",@,W,17,Alabama A&M,60,,80,10,Alcorn State
27,"Mon, Feb 19, 2018",@,L,18,Alabama State,82,,62,10,Alcorn State
28,"Sat, Feb 24, 2018",,W,18,Southern,85,,89,11,Alcorn State
29,"Thu, Mar 1, 2018",,L,19,Prairie View,79,,69,11,Alcorn State
30,"Sat, Mar 3, 2018",,L,20,Texas Southern,78,,71,11,Alcorn State
31,"Tue, Mar 6, 2018",@,L,21,Prairie View,87,,71,11,Alcorn State
0,"Fri, Nov 10, 2017",@,L,1,Kansas State,83,,45,0,American
1,"Wed, Nov 15, 2017",@,L,2,West Virginia,98,,64,0,American
2,"Sat, Nov 18, 2017",@,L,3,Wagner,71,,70,0,American
3,"Tue, Nov 21, 2017",@,W,3,New Hampshire,70,,74,1,American
4,"Sat, Nov 25, 2017",,W,3,Virginia Military Institute,64,,69,2,American
5,"Wed, Nov 29, 2017",@,L,4,Saint Francis,100,,89,2,American
6,"Sat, Dec 2, 2017",@,L,5,Maryland-Eastern Shore,74,,70,2,American
7,"Wed, Dec 6, 2017",@,L,6,Western Illinois,69,,56,2,American
8,"Sat, Dec 9, 2017",,W,6,Howard,63,,74,3,American
9,"Mon, Dec 18, 2017",,L,7,Mount St. Mary's,59,,56,3,American
10,"Thu, Dec 21, 2017",@,L,8,Marquette,92,,51,3,American
11,"Fri, Dec 29, 2017",@,L,9,Bucknell,84,,55,3,American
12,"Tue, Jan 2, 2018",,L,10,Colgate,72,,63,3,American
13,"Fri, Jan 5, 2018",@,L,11,Navy,70,,64,3,American
14,"Mon, Jan 8, 2018",,L,12,Army,58,,54,3,American
15,"Thu, Jan 11, 2018",,W,12,Loyola,65,,76,4,American
16,"Sun, Jan 14, 2018",@,L,13,Lehigh,76,,66,4,American
17,"Wed, Jan 17, 2018",@,W,13,Boston University,58,,69,5,American
18,"Sat, Jan 20, 2018",,L,14,Lafayette,62,,53,5,American
19,"Mon, Jan 22, 2018",,L,15,Holy Cross,60,,57,5,American
20,"Sat, Jan 27, 2018",@,L,16,Colgate,83,,69,5,American
21,"Wed, Jan 31, 2018",,L,17,Navy,61,,44,5,American
22,"Sat, Feb 3, 2018",@,L,18,Army,82,,70,5,American
23,"Wed, Feb 7, 2018",@,L,19,Loyola,72,,69,5,American
24,"Sat, Feb 10, 2018",,L,20,Lehigh,80,OT,78,5,American
25,"Wed, Feb 14, 2018",,W,20,Boston University,56,,60,6,American
26,"Sat, Feb 17, 2018",@,L,21,Lafayette,90,,85,6,American
27,"Wed, Feb 21, 2018",@,L,22,Holy Cross,70,,64,6,American
28,"Sat, Feb 24, 2018",,L,23,Bucknell,80,,61,6,American
29,"Tue, Feb 27, 2018",@,L,24,Lafayette,93,,86,6,American
0,"Sat, Nov 11, 2017",,W,0,Toccoa Falls,34,,135,1,Appalachian State
1,"Sun, Nov 12, 2017",,W,0,Bridgewater,57,,95,2,Appalachian State
